Network,Long Name,Code,Type,Motion,Cable Type,Cable length,Easting,Northing,Elev,Cmp01,x1,y1,z1,Cmp02,x2,y2,z2,Cmp03,x3,y3,z3
OT,SU11_2,73,Avalon_14HZ_HG6_Geophone_1,velocity,Avalon_0,395,652064.0324,4766956.224,823.1208333,x,0.72156,0.686786,0.087612,y,-0.691824,0.710271,0.129981,z,0.027041,-0.154401,0.987638
OT,SU11_3,74,Avalon_14HZ_HG6_Geophone_1,velocity,Avalon_0,585,652058.8669,4766986.316,635.5909666,x,0.981876,0.189485,0.003787,y,-0.187515,0.968379,0.164561,z,0.027514,-0.162288,0.98636
OT,SU11_4,75,Avalon_14HZ_HG6_Geophone_2,velocity,Avalon_0,775,652052.0597,4767017.62,448.3174684,x,-0.340642,0.9246,0.170521,y,-0.938761,-0.344489,-0.007431,z,0.051871,-0.16261,0.985326
OT,SU11_5,76,Avalon_14HZ_HG6_Geophone_2,velocity,Avalon_0,945,652042.4695,4767044.532,280.7365538,x,0.034032,-0.986929,-0.15752,y,-0.997708,-0.042774,0.05244,z,0.058493,-0.155374,0.986122
OT,SU11_6,77,Avalon_14HZ_HG6_Geophone_2,velocity,Avalon_0,1115,652031.8453,4767070.659,113.0931276,x,0.899909,0.436038,0.00588,y,-0.430906,0.887085,0.165527,z,0.06696,-0.151493,0.986188
OT,SU03_1,78,Avalon_14HZ_HG6_Geophone_0,velocity,Avalon_0,295,651256.3981,4767539.283,934.7125384,x,0.981749,-0.15015,0.116726,y,0.121124,0.966819,0.22492,z,-0.146624,-0.206677,0.96736
OT,SU03_2,79,Avalon_14HZ_HG6_Geophone_1,velocity,Avalon_0,545,651290.6927,4767589.766,692.2846958,x,-0.284713,0.944047,0.166475,y,-0.950629,-0.255684,-0.175872,z,-0.123466,-0.208328,0.970235
OT,SU03_3,80,Avalon_14HZ_HG6_Geophone_1,velocity,Avalon_0,705,651310.1019,4767622.153,536.8053196,x,0.14522,-0.971856,-0.18549,y,0.981796,0.118351,0.148559,z,-0.122425,-0.203687,0.971352
OT,SU03_4,81,Avalon_14HZ_HG6_Geophone_2,velocity,Avalon_0,865,651329.2073,4767654.514,381.2820366,x,-0.588492,0.802489,0.098436,y,-0.800587,-0.561398,-0.209508,z,-0.112866,-0.2021,0.97284
OT,SU03_5,82,Avalon_14HZ_HG6_Geophone_2,velocity,Avalon_0,1025,651346.7418,4767686.961,225.5916429,x,-0.877416,0.479654,0.008568,y,-0.468827,-0.853551,-0.227268,z,-0.101697,-0.203426,0.973794
OT,SU03_6,83,Avalon_14HZ_HG6_Geophone_2,velocity,Avalon_0,1175,651359.6555,4767716.66,84.25738384,x,0.860465,-0.507986,-0.039373,y,0.50316,0.835039,0.222575,z,-0.080187,-0.211329,0.97412
OT,UGSS14_3GEO,84,IMS_14HZ_LM6_Geophone_0,velocity,IMS_0,15,650356.5,4766408.9,-14.5,x,0,0,1,y,0,0,1,z,0,0,1
OT,SU08_1,85,Avalon_14HZ_HG6_Geophone_0,velocity,Avalon_0,185,651619.9136,4767484.653,1032.878584,x,0.545455,0.838139,0.001373,y,-0.838139,0.545453,0.001895,z,0.00084,-0.002185,0.999997
OT,SU08_2,86,Avalon_14HZ_HG6_Geophone_1,velocity,Avalon_0,325,651619.6166,4767484.952,892.8793027,x,0.998489,-0.054862,-0.003289,y,0.054865,0.998493,0.000941,z,0.003232,-0.00112,0.999994
OT,SU08_3,87,Avalon_14HZ_HG6_Geophone_1,velocity,Avalon_0,515,651619.1497,4767485.191,702.8800466,x,-0.699026,-0.715096,0.001059,y,0.715091,-0.699026,-0.002733,z,0.002694,-0.001153,0.999996
